date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
2014-04-10,7.0,-0.4459116975573803,0.6839101714608339,,,-0.5414502372025065,0.9108739459800008,-0.6164605292194669,,,-0.6198896310671174,-0.25948240985733073,,,
2014-04-11,7.5,-0.5877027736978131,-1.0539199271292377,,,-0.9894014599106865,-1.187806982779892,,,,2.636072310892675,,,,
2014-04-12,6.8,0.00040792175890732197,0.48759125732911235,,,0.3428206785765302,1.5172540396907186,,0.9999999999999998,-0.6376467085256324,-0.7204839408033458,-0.07040599188497071,,,
2014-04-13,6.8,-0.683629765984165,-1.3272340065085062,,,-0.9816553364323948,,,,0.939278135552263,,,,,
2014-04-14,6.8,-0.6068881721550835,,,,,,,,,,,,,
2014-04-15,6.8,1.2196835730307556,-0.8523683194672727,,,-0.9012820529984347,-0.5172144309734404,-0.5160737147665281,,,-0.1916052460388573,-0.9804791426066102,,,
2014-04-16,7.2,-0.6125727346609412,-1.3056347146257572,,,,,,,,-1.0781924884458614,,,,
2014-04-17,6.4,-0.5227416876933713,0.5817703658219482,,,-0.12462154146621598,0.09190933523009437,-0.2662871897957901,,-0.43914239456453624,,0.051894094242265494,,-0.6728863788189977,
2014-04-18,6.75,-0.5849394447019101,-1.0990616138775942,,,-0.21358553114264925,,,,,,-1.2058276459040775,,,
2014-04-19,7.5,-0.12693467920359758,-0.14638886454501032,,,-0.5035056948344848,0.6299291746694708,,,-0.6622690618478425,,-0.41363233347802514,,-0.7273369882925038,
2014-04-20,7.6,2.376898083151826,-1.0185675855266767,,,0.3421475446215856,-0.82195916522088,,,,-0.6229470680657778,-1.20709163999848,,,
2014-04-21,7.4,-0.5103162925256299,-0.6506122396138916,,,1.002086766993505,-0.6620028234274055,-0.7865023206202643,,,-0.20161140348901868,1.4576096306074044,,,
2014-04-22,6.4,,,,,,,,,,,,,,
2014-04-23,7.0,-0.5045660470496414,-0.8949995029921013,,,-1.220242111773725,-0.9013637573572754,-0.865080998267309,,,-0.4098645554205016,-0.25270683877423655,,,
2014-04-24,7.0,-0.683629765984165,-0.054953867833911055,,,3.3527173738430074,-0.5368650708767572,-0.7492656256940711,,,3.2599197471278636,-0.9020188735700262,,,
2014-04-25,7.0,0.08454579190961523,-0.7877151710307898,,,-0.3371655186186318,-0.09828192020293801,-0.5834351271718312,,,-0.046898142636350365,0.2326668934763121,,,
2014-04-26,7.0,0.02409826599514262,0.4190482892094891,,,-0.5261512926391333,0.7745048867795479,2.3298447726865352,,,,-0.3366563917529842,,,
2014-04-27,6.8,-0.39584878912510907,-0.35871095628902694,,,-0.9875189358781136,-0.783337300848902,,,,0.3229301315936581,2.705039342127544,,-0.5413740352504481,
2014-04-28,6.8,-0.06465516885090035,0.3154788164418249,,,-0.6829596128182258,-0.029520679842910996,-0.3862408907093169,,-0.7028099797176808,0.7325050868062516,-0.39037987922831996,,,
