date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-03-30,7.4,0.9742585770360116,-0.6011429077517582,,,-0.3084389014284066,-0.6073323525339753,-0.25501161955284063,,-0.15708593045866198,-0.2929488783836896,,,-0.18606108716899408,,-1.0
2014-03-31,7.6,-0.5005197100526094,1.061469494647482,,,-0.16519126689834476,1.7303766263075937,-0.43856076382031,-0.3007064480038439,,-0.4358148294751829,,,,-1.0102783437584537,
2014-04-01,7.4,-0.45960665660335215,-0.5432605679153981,,,-0.12513597590940453,-0.8294854963547614,-0.1997647001581258,0.7760607622346066,-0.19590249711704683,-0.34033844335118396,,,,,
2014-04-02,7.8,-1.1854765246543635,-0.707069739900517,,,-0.19087011839840887,-0.7706004803876971,-0.16581808234317436,-0.4325456712015217,-0.23576124754000163,-0.3879909666077169,,-0.20635182348531214,,,
2014-04-03,7.8,-0.34125809795712475,-0.8594402539430149,,,5.228881817847232,-0.8804908888925727,-0.07606209683451695,-0.8526150049635131,,-0.3837084762013091,,,-0.22557666067717655,1.6236389225064878,
2014-04-04,7.6,-0.5925613956058057,-0.3209960233756643,,,-0.23960105137178908,0.07422635807171708,-0.3393495759524857,0.40335132201156665,-0.23034280216839903,0.3988998759896516,,,0.5485275265013255,,
2014-04-05,6.8,-0.002060883808935553,-0.37769153409150036,,,-0.28255138842172645,-0.5530237965510387,-0.017078389020727298,,-0.12354915473799083,-0.3836032553068028,,-1.0983429335611672,,,
2014-04-06,7.4,-0.18982348843446747,1.6608764429133056,,,-0.3065727472222943,0.15314474493279007,0.24958103384425182,,,2.3325924022865063,,,-0.21796974894777382,,
2014-04-07,7.4,-0.0971621927293772,0.16789742082652065,,,-0.20861181221901393,-0.04701989478128806,-0.10868020140262186,-0.5695131907678577,-0.13929599012807695,-0.41969965895610956,,,-0.20618978295468784,,
2014-04-08,7.8,-0.5112379544142636,0.13328561713208942,,,-0.1388168370891108,-0.8590355254535612,-0.4360773530625375,-0.2594000335668683,5.189744577741009,-0.4352203045791572,,,-0.24933580882166514,,
