date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-04-05,6.8,-0.0020608838089355526,-0.37769153409150036,0.0,0.0,-0.2825513884217265,-0.5530237965510394,-0.017078389020727294,0.0,-0.12354915473799093,-0.38360325530680256,0.0,-1.0983429335611672,0.0,0.0,0.0
2014-04-06,7.4,-0.18982348843446745,1.6608764429133056,0.0,0.0,-0.3065727472222943,0.1531447449327894,0.2495810338442518,0.0,0.0,2.3325924022865054,0.0,0.0,-0.21796974894777374,0.0,0.0
2014-04-07,7.4,-0.09716219272937719,0.16789742082652065,0.0,0.0,-0.20861181221901395,-0.047019894781288714,-0.10868020140262184,-0.5695131907678581,-0.13929599012807706,-0.41969965895610933,0.0,0.0,-0.20618978295468776,0.0,0.0
2014-04-08,7.8,-0.5112379544142636,0.13328561713208942,0.0,0.0,-0.13881683708911083,-0.8590355254535619,-0.4360773530625374,-0.2594000335668688,5.189744577741009,-0.435220304579157,0.0,0.0,-0.24933580882166506,0.0,0.0
2014-04-09,7.4,-0.8786451430586779,-1.2055599172013791,0.0,0.0,-0.28967322498731457,-0.9001221924615344,-0.4806285875197399,-0.6276626895026653,-0.23303579287999243,-0.4583316260014663,0.0,0.0,-0.2126407167128063,0.0,0.0
2014-04-10,7.6,0.2041857431762261,1.0901795189177703,0.0,0.0,-0.11553343368171166,-0.2706570078643709,0.10452691731413659,0.0,-0.23378701471436658,-0.39433240444626805,1.6495154862140957,0.0,5.59296375172219,0.0,0.0
2014-04-11,7.666666666666667,0.2198372727393113,0.21727598481140073,0.0,0.0,-0.2536572752726802,-0.3522749803182757,0.281313407527705,-0.5856069399520951,-0.23610621491709521,-0.05614831582491291,0.0,0.0,-0.20421072769772736,-1.1908308119762225,0.0
2014-04-12,7.4,0.6254011309896734,0.2685762174215862,0.0,0.0,4.223854689403334,-0.6304856471615965,6.275256743292173,0.0,0.0,1.0936007400720764,0.0,0.0,-0.22320703689930602,0.15340603409023076,0.0
2014-04-13,7.0,-1.1286291554260093,2.257254517250077,0.0,0.0,0.368793088164413,1.7628040189816296,0.07797681862755346,0.0,-0.11584789948296716,5.084263255555786,0.0,0.0,0.0,0.0,0.0
2014-04-14,7.6,-0.8390688972228771,0.09087089251029432,0.0,0.0,-0.1418845889450837,2.8048753676961207,-0.46670192914386865,-0.2232678601332537,-0.22338884237685808,-0.3916470169029029,-0.052184353327213565,0.0,-0.24907892482804636,2.378359402096839,0.0
